Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,Longformer_20230819-0440,20230819-0605,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.844105661,0.604921043,0.689829111,0.066291437,0.358108103,0.036526535,0.851733983,0.036526535,0.988309145,53,8031,1398,95,"Longformer	0.844	0.605	0.69	0.066	0.037	0.358 \\",
,Longformer_20230819-0605,20230819-0722,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.767254889,0.649026275,0.703784406,0.065408811,0.527027011,0.034868129,0.771025538,0.034868129,0.990463197,78,7270,2159,70,"Longformer	0.767	0.649	0.704	0.065	0.035	0.527 \\",
,Longformer_20230819-0722,20230819-0908,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.426438332,0.622258663,0.686116099,0.042530939,0.82432431,0.021828592,0.420193017,0.021828592,0.993480444,122,3962,5467,26,"Longformer	0.426	0.622	0.686	0.043	0.022	0.824 \\",
,Longformer_20230819-0908,20230819-1024,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.72736764,0.655372441,0.70613122,0.061803803,0.581081092,0.03263757,0.729663789,0.03263757,0.99106884,86,6880,2549,62,"Longformer	0.727	0.655	0.706	0.062	0.033	0.581 \\",
,Longformer_20230819-1024,20230819-1153,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.630573273,0.64279443,0.705169559,0.051982846,0.655405402,0.027064731,0.630183458,0.027064731,0.991490066,97,5942,3487,51,"Longformer	0.631	0.643	0.705	0.052	0.027	0.655 \\",
,Longformer_20230819-1153,20230819-1306,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.938498497,0.586351275,0.730474293,0.100763351,0.222972974,0.065088756,0.949729562,0.065088756,0.98732084,33,8955,474,115,"Longformer	0.938	0.586	0.73	0.101	0.065	0.223 \\",
,Longformer_20230819-1306,20230819-1427,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.919285774,0.616498351,0.723588526,0.104287378,0.304054052,0.062937066,0.928942621,0.062937066,0.988377333,45,8759,670,103,"Longformer	0.919	0.616	0.724	0.104	0.063	0.304 \\",
,Longformer_20230819-1427,20230819-1548,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.774146378,0.615947247,0.686146498,0.058336966,0.452702701,0.031177292,0.779191852,0.031177292,0.98909533,67,7347,2082,81,"Longformer	0.774	0.616	0.686	0.058	0.031	0.453 \\",
,Longformer_20230901-0913,20230901-1035,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.774146378,0.672478259,0.742223203,0.072072074,0.567567587,0.038479157,0.77738893,0.038479157,0.991344333,84,7330,2099,64,"Longformer	0.774	0.672	0.742	0.072	0.038	0.568 \\",
,Longformer_20230819-1759,20230819-1944,token_len,SCAR_NLP,Longformer_512,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.879920661,0.633085728,0.723057151,0.088748015,0.378378391,0.050269298,0.887793005,0.050269298,0.989129126,56,8371,1058,92,"Longformer	0.88	0.633	0.723	0.089	0.05	0.378 \\",
,Longformer_20230820-0815,20230820-1032,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.829069674,0.610586464,0.650448024,0.065105662,0.385135144,0.035558328,0.836037755,0.035558328,0.988587916,57,7883,1546,91,"Longformer	0.829	0.611	0.65	0.065	0.036	0.385 \\",
,Longformer_20230820-1032,20230820-1321,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.636420608,0.639113307,0.696320057,0.051742919,0.641891897,0.026958002,0.636334717,0.026958002,0.991244018,95,6000,3429,53,"Longformer	0.636	0.639	0.696	0.052	0.027	0.642 \\",
,Longformer_20230820-1321,20230820-1547,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.744909704,0.694209278,0.764738202,0.072161026,0.641891897,0.038229376,0.746526659,0.038229376,0.99252677,95,7039,2390,53,"Longformer	0.745	0.694	0.765	0.072	0.038	0.642 \\",
,Longformer_20230820-1547,20230820-1907,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.905293941,0.64929682,0.754929483,0.111655243,0.385135144,0.065292098,0.913458467,0.065292098,0.989545047,57,8613,816,91,"Longformer	0.905	0.649	0.755	0.112	0.065	0.385 \\",
,Longformer_20230820-1907,20230820-2116,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.812154114,0.688455045,0.763041973,0.084478371,0.560810804,0.045679692,0.816099286,0.045679692,0.9916237,83,7695,1734,65,"Longformer	0.812	0.688	0.763	0.084	0.046	0.561 \\",
,Longformer_20230820-2116,20230821-0035,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.85381645,0.619828701,0.719195843,0.074074082,0.378378391,0.04105572,0.861279011,0.04105572,0.988798261,56,8121,1308,92,"Longformer	0.854	0.62	0.719	0.074	0.041	0.378 \\",
,Longformer_20230821-0035,20230821-0301,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.684452355,0.650204778,0.713487744,0.056803998,0.614864886,0.029777488,0.68554461,0.029777488,0.991259038,91,6464,2965,57,"Longformer	0.684	0.65	0.713	0.057	0.03	0.615 \\",
,Longformer_20230821-0301,20230821-0629,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.842957079,0.66751945,0.75715518,0.087378651,0.486486495,0.048,0.848552346,0.048,0.990590572,72,8001,1428,76,"Longformer	0.843	0.668	0.757	0.087	0.048	0.486 \\",
,Longformer_20230821-0629,20230821-0910,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.621071339,0.671222448,0.714133859,0.055685662,0.722972989,0.028958051,0.619471848,0.028958051,0.993029594,107,5841,3588,41,"Longformer	0.621	0.671	0.714	0.056	0.029	0.723 \\",
,Longformer_20230821-0910,20230821-1151,token_len,SCAR_NLP,Longformer_1024,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,1024,FALSE,100,0.0001,10,undersampling,0.939647079,0.560331762,0.697201371,0.079617836,0.168918923,0.052083332,0.951744616,0.052083332,0.986479044,25,8974,455,123,"Longformer	0.94	0.56	0.697	0.08	0.052	0.169 \\",
,Longformer_20230821-1152,20230821-1707,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.76882112,0.676424503,0.733453155,0.072087176,0.581081092,0.038427167,0.771767974,0.038427167,0.991551995,86,7277,2152,62,"Longformer	0.769	0.676	0.733	0.072	0.038	0.581 \\",
,Longformer_20230821-1707,20230821-2235,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.735720992,0.672916055,0.737580001,0.066396162,0.608108103,0.0351151,0.737724066,0.0351151,0.991730809,90,6956,2473,58,"Longformer	0.736	0.673	0.738	0.066	0.035	0.608 \\",
,Longformer_20230821-2235,20230822-0405,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.753471851,0.661978722,0.735238194,0.066429421,0.567567587,0.035279293,0.756389856,0.035279293,0.991106153,84,7132,2297,64,"Longformer	0.753	0.662	0.735	0.066	0.035	0.568 \\",
,Longformer_20230822-0405,20230822-1018,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.722564459,0.669559956,0.721379995,0.064107075,0.614864886,0.033816423,0.724254966,0.033816423,0.991722345,91,6829,2600,57,"Longformer	0.723	0.67	0.721	0.064	0.034	0.615 \\",
,Longformer_20230822-1018,20230822-1518,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.816852868,0.677539885,0.744133592,0.082635976,0.533783793,0.044784579,0.821295977,0.044784579,0.991168559,79,7744,1685,69,"Longformer	0.817	0.678	0.744	0.083	0.045	0.534 \\",
,Longformer_20230822-1519,20230822-2049,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.776339173,0.716821373,0.76885891,0.083047941,0.655405402,0.044332724,0.778237343,0.044332724,0.993097842,97,7338,2091,51,"Longformer	0.776	0.717	0.769	0.083	0.044	0.655 \\",
