Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20221027-1434,20221027-1456,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,0.1,50.0,,,,,,,,5000.0,0.0,1.0,,5.0,loss_weight,0.8142797350883484,0.8153635263442993,0.8900326490402222,0.8334897756576538,0.8081543445587158,0.8604651093482971,0.8225727081298828,0.8604651162790697,0.7600182149362478,2220.0,1669.0,360.0,527.0,BoW & 0.814 & 0.815 & 0.89 & 0.833 & 0.86 & 0.808 \\,
,BoW_20221027-1457,20221027-1506,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,0.5,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8266331553459167,0.8259092569351196,0.9036824107170104,0.8464391827583313,0.8307244181632996,0.8627599477767944,0.8210941553115845,0.8627599243856333,0.7817925856405443,2282.0,1666.0,363.0,465.0,BoW & 0.827 & 0.826 & 0.904 & 0.846 & 0.863 & 0.831 \\,
,BoW_20221027-1506,20221027-1514,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,0.7,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8299832344055176,0.8293368220329285,0.905484974384308,0.8494065999984741,0.8336367011070251,0.8657845258712769,0.8250369429588318,0.8657844990548205,0.7855466916940403,2290.0,1674.0,355.0,457.0,BoW & 0.83 & 0.829 & 0.905 & 0.849 & 0.866 & 0.834 \\,
,BoW_20221027-1514,20221027-1523,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,0.8,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8297738432884216,0.829090416431427,0.9060549736022948,0.849249005317688,0.8336367011070251,0.86545729637146,0.8245441317558289,0.8654572940287226,0.7854460093896714,2290.0,1673.0,356.0,457.0,BoW & 0.83 & 0.829 & 0.906 & 0.849 & 0.865 & 0.834 \\,
,BoW_20221027-1523,20221027-1531,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8287269473075867,0.8275362253189087,0.906846523284912,0.8487426042556763,0.8354568481445312,0.8624577522277832,0.8196156024932861,0.8624577226606539,0.7862884160756501,2295.0,1663.0,366.0,452.0,BoW & 0.829 & 0.828 & 0.907 & 0.849 & 0.862 & 0.835 \\,
,BoW_20221027-1531,20221027-1539,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,3.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8289363384246826,0.8276538252830505,0.9075651168823242,0.849011242389679,0.8361849188804626,0.8622372150421143,0.8191227316856384,0.8622372372372372,0.7869318181818182,2297.0,1662.0,367.0,450.0,BoW & 0.829 & 0.828 & 0.908 & 0.849 & 0.862 & 0.836 \\,
,BoW_20221027-1539,20221027-1548,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,5.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8280988335609436,0.8264104723930359,0.9061550498008728,0.8486077785491943,0.8376410603523254,0.8598654866218567,0.8151798844337463,0.8598654708520179,0.7876190476190477,2301.0,1654.0,375.0,446.0,BoW & 0.828 & 0.826 & 0.906 & 0.849 & 0.86 & 0.838 \\,
,BoW_20221027-1548,20221027-1556,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,10.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8245393633842468,0.8226721286773682,0.9025529623031616,0.8455584645271301,0.8350928425788879,0.8562896847724915,0.8102513551712036,0.8562896603210153,0.7839771101573677,2294.0,1644.0,385.0,453.0,BoW & 0.825 & 0.823 & 0.903 & 0.846 & 0.856 & 0.835 \\,
,BoW_20221027-1556,20221027-1605,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,rf,1.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8084170818328857,0.7958391904830933,0.8771406412124634,0.8407864570617676,0.879504919052124,0.8053333163261414,0.7121734619140625,0.8053333333333333,0.8136261261261262,2416.0,1445.0,584.0,331.0,BoW & 0.808 & 0.796 & 0.877 & 0.841 & 0.805 & 0.88 \\,
,BoW_20221027-1605,20221027-1614,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,rf,1.0,100.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8098827600479126,0.7971777319908142,0.8838343024253845,0.8421419262886047,0.8816891312599182,0.8059900403022766,0.7126663327217102,0.8059900166389351,0.8164878599661208,2422.0,1446.0,583.0,325.0,BoW & 0.81 & 0.797 & 0.884 & 0.842 & 0.806 & 0.882 \\,
