Run Name,Table,Model,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN
CNN_20230216-1157,see_counselling,CNN,0.717865705,0.717610359,0.784565926,0.519045949,0.717166722,0.406694561,0.718054056,0.406694561,0.904038718,1458.0,5417.0,2127.0,575.0
CNN_20230216-1234,see_counselling,CNN,0.759632468,0.706571758,0.78640604,0.520416677,0.614363015,0.451391399,0.798780501,0.451391399,0.884875184,1249.0,6026.0,1518.0,784.0
CNN_20230216-1314,see_counselling,CNN,0.753158629,0.708750725,0.78358686,0.520681262,0.631578922,0.442911357,0.785922587,0.442911349,0.887840671,1284.0,5929.0,1615.0,749.0
CNN_20230216-1404,see_counselling,CNN,0.724235117,0.713927805,0.783135116,0.51727289,0.696015716,0.411576509,0.731839895,0.411576498,0.899332139,1415.0,5521.0,2023.0,618.0
CNN_20230216-1439,see_counselling,CNN,0.714106739,0.714146435,0.784060478,0.514711142,0.714215457,0.402327508,0.714077413,0.402327515,0.902647453,1452.0,5387.0,2157.0,581.0
LSTM_20230216-1518,see_counselling,LSTM,0.69875741,0.711051166,0.782175243,0.507931113,0.73241514,0.388772845,0.689687192,0.388772846,0.905341918,1489.0,5203.0,2341.0,544.0
LSTM_20230216-1829,see_counselling,LSTM,0.62221992,0.69786334,0.779612899,0.482403427,0.829316258,0.340125084,0.566410363,0.340125076,0.924891775,1686.0,4273.0,3271.0,347.0
LSTM_20230216-2138,see_counselling,LSTM,0.731544316,0.699163556,0.776183307,0.504146516,0.642892301,0.414657354,0.755434811,0.41465736,0.887003891,1307.0,5699.0,1845.0,726.0
LSTM_20230217-0122,see_counselling,LSTM,0.749608457,0.705419302,0.780896783,0.515946746,0.628627658,0.437521398,0.782211006,0.437521397,0.88656851,1278.0,5901.0,1643.0,755.0
LSTM_20230217-0506,see_counselling,LSTM,0.752427697,0.700920582,0.776710987,0.511838555,0.611411691,0.440155804,0.790429473,0.440155807,0.883014956,1243.0,5963.0,1581.0,790.0
BERT_20230217-0849,see_counselling,BERT,0.696355879,0.635684848,0.704676092,0.425750375,0.530250847,0.355658203,0.741118789,0.355658203,0.854109406,1078.0,5591.0,1953.0,955.0
BERT_20230217-2149,see_counselling,BERT,0.598412871,0.65670073,0.720701158,0.444861442,0.757993102,0.314811021,0.555408299,0.314811021,0.894916713,1541.0,4190.0,3354.0,492.0
BERT_20230218-0815,see_counselling,BERT,0.726427913,0.639501393,0.710980535,0.431176722,0.488440722,0.385930806,0.790562034,0.385930806,0.851513445,993.0,5964.0,1580.0,1040.0
BERT_20230218-2105,see_counselling,BERT,0.705753386,0.638056517,0.707936883,0.428860962,0.52041316,0.364701837,0.755699873,0.364701837,0.853954434,1058.0,5701.0,1843.0,975.0
BERT_20230219-0928,see_counselling,BERT,0.680588901,0.644361913,0.707376838,0.435921073,0.581406772,0.348672569,0.707317054,0.348672569,0.86245352,1182.0,5336.0,2208.0,851.0
BoW_20230220-1316,see_counselling,BoW,0.705335677,0.696721315,0.764259279,0.495530903,0.681751132,0.389216512,0.711691439,0.389216512,0.892453457,1386.0,5369.0,2175.0,647.0
